Order Date,Sales,month,year,lag_1,lag_3,rolling_3_mean
2015-04-30,27906.855,4,2015,55205.797,14205.707,29210.847999999998
2015-05-31,23644.303,5,2015,27906.855,4519.892,35585.651666666665
2015-06-30,34322.9356,6,2015,23644.303,55205.797,28624.697866666666
2015-07-31,33781.543,7,2015,34322.9356,27906.855,30582.927199999995
2015-08-31,27117.5365,8,2015,33781.543,23644.303,31740.671699999995
2015-09-30,81623.5268,9,2015,27117.5365,34322.9356,47507.53543333333
2015-10-31,31453.393,10,2015,81623.5268,33781.543,46731.48543333333
2015-11-30,77907.66070000001,11,2015,31453.393,27117.5365,63661.52683333334
2015-12-31,68167.0585,12,2015,77907.66070000001,81623.5268,59176.0374
2016-01-31,18066.9576,1,2016,68167.0585,31453.393,54713.89226666666
2016-02-29,11951.411,2,2016,18066.9576,77907.66070000001,32728.4757
2016-03-31,32339.3184,3,2016,11951.411,68167.0585,20785.895666666667
2016-04-30,34154.4685,4,2016,32339.3184,18066.9576,26148.3993
2016-05-31,29959.5305,5,2016,34154.4685,11951.411,32151.105800000005
2016-06-30,23599.374,6,2016,29959.5305,32339.3184,29237.791
2016-07-31,28608.259000000002,7,2016,23599.374,34154.4685,27389.054500000002
2016-08-31,36818.3422,8,2016,28608.259000000002,29959.5305,29675.32506666667
2016-09-30,63133.606,9,2016,36818.3422,23599.374,42853.4024
2016-10-31,31011.7375,10,2016,63133.606,28608.259000000002,43654.5619
2016-11-30,70129.2995,11,2016,31011.7375,36818.3422,54758.21433333333
2016-12-31,74543.6012,12,2016,70129.2995,63133.606,58561.54606666666
2017-01-31,16870.181,1,2017,74543.6012,31011.7375,53847.693900000006
2017-02-28,22978.815,2,2017,16870.181,70129.2995,38130.86573333333
2017-03-31,51165.059,3,2017,22978.815,74543.6012,30338.01833333333
2017-04-30,37385.017,4,2017,51165.059,16870.181,37176.297
2017-05-31,56656.908,5,2017,37385.017,22978.815,48402.328
2017-06-30,39724.486,6,2017,56656.908,51165.059,44588.80366666667
2017-07-31,38320.783,7,2017,39724.486,37385.017,44900.725666666665
2017-08-31,30542.2003,8,2017,38320.783,56656.908,36195.8231
2017-09-30,69193.3909,9,2017,30542.2003,39724.486,46018.79140000001
2017-10-31,59583.033,10,2017,69193.3909,38320.783,53106.20806666667
2017-11-30,79066.4958,11,2017,59583.033,30542.2003,69280.97323333334
2017-12-31,95739.121,12,2017,79066.4958,69193.3909,78129.54993333334
2018-01-31,42839.294,1,2018,95739.121,59583.033,72548.3036
2018-02-28,19920.9974,2,2018,42839.294,79066.4958,52833.137466666674
2018-03-31,58863.4128,3,2018,19920.9974,95739.121,40541.23473333334
2018-04-30,35541.9101,4,2018,58863.4128,42839.294,38108.77343333334
2018-05-31,43825.9822,5,2018,35541.9101,19920.9974,46077.1017
2018-06-30,48190.7277,6,2018,43825.9822,58863.4128,42519.54000000001
2018-07-31,44825.104,7,2018,48190.7277,35541.9101,45613.93796666667
2018-08-31,62837.848,8,2018,44825.104,43825.9822,51951.22656666667
2018-09-30,86152.888,9,2018,62837.848,48190.7277,64605.280000000006
2018-10-31,77448.1312,10,2018,86152.888,44825.104,75479.62240000001
2018-11-30,117938.155,11,2018,77448.1312,62837.848,93846.39140000001
2018-12-31,82825.3588,12,2018,117938.155,86152.888,92737.21500000001
